en,ru,nl,es,de,fr
"to succeed, work out","добиваться успеха, работать",lukken,"para tener éxito, esfuérzate","Erfolg haben, trainieren","réussir, s'en sortir"
meal,еда,de maaltijd,comida,Mahlzeit,repas
moon,луна,de maan,luna,Mond,lune
month,месяц,de maand,mes,Monat,mois
but,но,maar,pero,sondern,mais
measure,измерять,de maatregel,medir,Maßnahme,mesure
society,общество,de samenleving,sociedad,Gesellschaft,société
machine,машина,de machine,máquina,Maschine,machine
to make,сделать,maken,hacer,zu machen,pour faire
mom,мама,de mama,mamá,Mutter,maman
man,человек,de man,hombre,man,homme
husband,муж,"man, echtgenoot",marido,Ehemann,mari
way,путь,de manier,camino,Weg,manière
market,рынок,de markt,mercado,Markt,marché
material,материал,het materiaal,material,Material,matériel
me (unstressed),,me,,,
me,я,,yo,ich,moi
medical,медицинский,medisch,médico,medizinisch,médical
to bring with,брать с собой,meebrengen,para llevar con,zum Mitbringen,à apporter avec
to participate,участвовать,meedoen,participar,zur Teilnahme,participer
to give with,давать с,meegeven,para dar con,zu geben mit,à donner avec
to watch with..,смотреть с...,meekijken,para ver con..,zu beobachten.,à regarder avec .
to come along,приехать,meekomen,venir,um mitzukommen,à venir
to take with,взять с собой,meenemen,para llevar con,zum Mitnehmen,à emporter avec soi
more,подробнее,meer,más,mehr,plus
mostly,в основном,vooral,sobre todo,meist,la plupart du temps
master,мастер,de meester,maestro,Meister,maître
opinion,мнение,de mening,opinión,Stellungnahme,avis
human,человек,menselijk,humano,menschlich,humain
knife,нож,het mes,cuchillo,Messer,couteau
with,с,met,con,mit,avec
right away,сразу же,meteen,de inmediato,auf der Stelle,immédiatement
meter,счетчик,de meter,contador,Zähler,compteur
method,метод,de methode,método,Methode,méthode
Mrs.,Миссис.,de mevrouw,Sra.,Frau,Mme.
myself,сам,mezelf,yo mismo,mich,moi-même
me (stressed),,mij,,,
my,мой,mijn,mi,meine,mon
environment,окружающая среда,het milieu,medio ambiente,Umwelt,l'environnement
million,миллион,de miljoen,millones,Millionen,millions d'euros
minister,министр,de minister,ministro,Minister,ministre
minute,минута,de minuut,minuto,Minute,minute
maybe,возможно,misschien,tal vez,vielleicht,peut-être
to miss,пропустить,missen,perder,zu vermissen,de manquer
modern,современный,modern,moderno,modern,moderne
tired,усталый,moe,cansado,müde,fatigué
courage,мужество,de moed,valor,Mut,courage
mother,мать,de moeder,madre,Mutter,mère
difficult,сложно,moeilijk,difícil,schwierig,difficile
"difficult, easy","трудно, легко","moeilijk, makkelijk","difícil, fácil","schwierig, leicht","difficile, facile"
difficulty,трудности,de moeilijkheid,dificultad,Schwierigkeit,difficulté
effort,усилия,de moeite,esfuerzo,Aufwand,effort
"should, must","должен, обязан",moeten,"debería, debe","sollte, muss","devrait, doit"
possible,возможно,mogelijk,posible,möglich,possible
possibility,возможность,de mogelijkheid,posibilidad,Möglichkeit,possibilité
"to be allowed to, may","быть допущенным, может",mogen,"que se le permita, puede","zu dürfen, kann","être autorisé à, peut"
moment,момент,het moment,momento,Moment,moment
mouth,рот,de mond,boca,Mund,bouche
"beautiful, pretty","красивый, симпатичный",mooi,"hermoso, bonito","schön, hübsch","belle, jolie"
"pretty, ugly","красивый, уродливый","mooi, lelijk","bonito, feo","hübsch, hässlich","joli, laid"
motive,мотив,het motief,motivo,Motiv,motif
museum,музей,het museum,museo,Museum,musée
wall,стена,de wand,pared,Wand,mur
music,музыка,de muziek,música,Musik,musique
after,после,na,después de,nach,après
name,имя,de naam,nombre,Name,nom
to,на,naar,a,zu,à
next to,рядом с,naast,junto a,neben,à côté de
night,ночь,de nacht,noche,Nacht,nuit
namely,а именно,namelijk,a saber,nämlich,à savoir
wet,мокрый,nat,húmedo,nass,humide
national,национальная,nationaal,nacional,national,national
nature,природа,de natuur,naturaleza,Natur,nature
of course,конечно,natuurlijk,por supuesto,natürlich,bien sûr
barely,едва,nauwelijks,apenas,kaum,à peine
accurate,точный,nauwkeurig,preciso,genau,précis
no,нет,nee,no,keine,non
to put down,опускать,neerzetten,dejar,zum Ablegen,poser
negative,отрицательный,negatief,negativo,negativ,négatif
"negative, positive","негативный, позитивный","negatief, positief","negativo, positivo","negativ, positiv","négatif, positif"
to take,брать,nemen,tomar,zum Mitnehmen,à prendre
nowhere,нигде,nergens,en ninguna parte,Nirgendwo,nulle part
nose,нос,de neus,nariz,Nase,nez
nobody,никто,niemand,nadie,niemand,personne
not,не,niet,no,nicht,pas
new,новый,nieuw,nuevo,neu,nouveau
"new, old","новый, старый","nieuw, oud","nuevo, viejo","neu, alt","nouveau, ancien"
nothing,ничего,niks,nada,nichts,rien
neither,ни,noch,ni,weder,ni l'un ni l'autre
required,требуется,nodig,obligatorio,erforderlich,requis
yet,но,nog,pero,dennoch,encore
quite,довольно,nogal,muy,ziemlich,tout à fait
necessary,необходимо,noodzakelijk,necesario,erforderlich,nécessaire
north,север,het noorden,norte,Norden,nord
normal,нормальный,normaal,normal,normal,normal
well,хорошо,nou,bien,gut,bien
now,сейчас,nu,ahora,jetzt,maintenant
number,номер,het nummer,número,Nummer,nombre
helpful,полезно,nuttig,útil,hilfreich,utile
object,объект,het voorwerp,objeto,Objekt,objet
or,или,of,o,oder,ou
officially,официально,officieel,oficialmente,offiziell,officiellement
officer,офицер,de officier,oficial,Offizier,agent
October,Октябрь,oktober,Octubre,Oktober,Octobre
oil,масло,de olie,aceite,Öl,huile
around,вокруг,om,en torno a,um,autour de
to handle,справиться,omgaan met,manejar,zu handhaben,pour gérer
surroundings,окрестности,de omgeving,alrededores,Umgebung,environnement
up,вверх,omhoog,arriba,auf,monter
circumstance,обстоятельство,de omstandigheid,circunstancia,Umstand,circonstance
despite,несмотря на,ondanks,a pesar de,trotz,malgré
below,ниже,onder,debajo de,unter,ci-dessous
"difference, distinction","разница, различие",het onderscheid,"diferencia, distinción","Unterschied, Unterscheidung","différence, distinction"
"topic, subject","тема, предмет",het onderwerp,"tema, asunto","Thema, Gegenstand","thème, sujet"
education,образование,de opvoeding,educación,Bildung,l'éducation
research,исследование,het onderzoek,investigación,Forschung,recherche
accident,авария,het ongeluk,accidente,Unfall,accident
"undoubtedly, surely","несомненно, конечно",ongetwijfeld,"sin duda, seguramente","zweifelsohne, sicher","sans aucun doute, sûrement"
approximately,примерно,ongeveer,aproximadamente,etwa,approximativement
immediately,немедленно,onmiddellijk,inmediatamente,sofort,immédiatement
impossible,невозможно,onmogelijk,imposible,unmöglich,impossible
our,наш,"ons, onze",nuestra,unser,notre
to lack,испытывать недостаток,ontbreken,a falta de,zu wenig,de manquer
to meet,встретиться,ontmoeten,reunirse,zu treffen,se réunir
meeting,встреча,de vergadering,reunión,Treffen,réunion
development,разработка,de ontwikkeling,desarrollo,Entwicklung,développement
unexpected,неожиданный,onverwacht,inesperado,unerwartet,inattendu
eye,глаз,het oog,ojo,Auge,œil
ever,когда-либо,ooit,ever,immer,toujours
also,также,ook,también,auch,également
uncle,дядя,de oom,tío,Onkel,oncle
ear,ухо,het oor,oído,Ohr,oreille
judgement,суждение,het oordeel,sentencia,Urteil,jugement
war,война,de oorlog,guerra,Krieg,guerre
cause,причина,de oorzaak,causa,verursachen,cause
on,на,op,en,auf,sur
to call up,вызывать,opbellen,para llamar,aufzurufen,pour appeler
"assignment, exercise","задание, упражнение",de opdracht,"asignación, ejercicio","Aufgabe, Übung","mission, exercice"
suddenly,внезапно,plotseling,de repente,plötzlich,soudainement
open,открыть,open,abra,öffnen,ouvert
"open, closed","открытый, закрытый","open, dicht","abierto, cerrado","offen, geschlossen","ouvert, fermé"
public,публичный,openbaar,público,öffentlich,public
to open,открыть,openen,para abrir,zu öffnen,pour ouvrir
operation,операция,de operatie,operación,Betrieb,fonctionnement
to pick up,забрать,ophalen,para recoger,zum Abholen,pour ramasser
to resolve,решать,oplossen,resolver,zu beheben,pour résoudre
solution,решение,de oplossing,solución,Lösung,solution
comment,комментарий,de opmerking,comentario,Kommentar,commentaire
again,снова,opnieuw,de nuevo,wieder,à nouveau
to write down,записывать,opschrijven,anotar,zum Aufschreiben,écrire
to get up,вставать,opstaan,levantarse,zum Aufstehen,se lever
view,посмотреть,de opvatting,ver,siehe,vue
organ,орган,het orgaan,órgano,Organ,organe
organization,организация,de organisatie,organización,Organisation,l'organisation
to organize,организовывать,organiseren,organizar,zu organisieren,organiser
old,старый,oud,antiguo,alt,ancien
about,о,over,acerca de,über,à propos de
everywhere,везде,overal,en todas partes,überall,partout
agreement,соглашение,de overeenkomst,acuerdo,Vereinbarung,accord
government,правительство,de regering,gobierno,Regierung,gouvernement
"other, remaining","другой, оставшийся",overig,"otros, restantes","andere, übrige","autres, restants"
consultation,консультация,het overleg,consulta,Beratung,consultation
to cross,пересечь,oversteken,para cruzar,zu überqueren,traverser
horse,лошадь,het paard,caballo,Pferd,cheval
path,путь,het pad,ruta,Pfad,chemin
business suit,деловой костюм,het pak,traje de negocios,Geschäftsanzug,costume d'affaires
to grab,схватить,pakken,agarrar,zum Greifen,pour saisir
paper,бумага,het papier,papel,Papier,papier
partner,партнер,de partner,socio,Partner,partenaire
to pass,пройти,passeren,pasar,zu bestehen,passer
patient,пациент,de patiënt,paciente,Patient,patient
pattern,шаблон,het patroon,patrón,Muster,modèle
period,период,de periode,periodo,Zeitraum,période
press,нажмите,de pers,pulse,Presse,presse
staff,персонал,het personeel,personal,Mitarbeiter,le personnel
person,человек,de persoon,persona,Person,personne
personally,лично,persoonlijk,personalmente,persönlich,personnellement
personality,личность,de persoonlijkheid,personalidad,Persönlichkeit,personnalité
pain,боль,de pijn,dolor,Schmerzen,douleur
painful,болезненный,pijnlijk,doloroso,schmerzhaft,douloureux
place,место,de plek,lugar,Ort,lieu
plan,план,het plan,plan,Plan,plan
plant,завод,de plant,planta,Anlage,plante
pleasure,удовольствие,het plezier,placer,Vergnügen,plaisir
attempt,попытка,de poging,intente,Versuch,tentative
law enforcement,правоприменение,de politie,aplicación de la ley,Strafverfolgung,application de la loi
position,позиция,de positie,posición,Position,position
positive,положительный,positief,positivo,positiv,positif
pot,горшок,de pot,olla,Topf,marmite
magnificent,великолепный,prachtig,magnífico,prächtige,magnifique
practice,практика,de praktijk,práctica,Praxis,pratique
practical,практический,praktisch,práctico,praktisch,pratique
to talk,говорить,praten,hablar,zum Gespräch,pour parler
president,президент,de president,presidente,Präsident,président
pleasant,приятный,prettig,agradable,angenehm,agréable
price,цена,de prijs,precio,Preis,prix
problem,проблема,het probleem,problema,Problem,problème
per cent,процент,het procent,por ciento,Prozent,pour cent
process,процесс,het proces,proceso,Prozess,processus
to produce,производить,produceren,producir,zu produzieren,pour produire
product,продукт,het product,producto,Produkt,produit
production,производство,de productie,producción,Produktion,production
program,программа,het programma,programa,Programm,programme
project,проект,het project,proyecto,Projekt,projet
province,провинция,de provincie,provincia,Provinz,province
psychology,психология,de psychologie,psicología,Psychologie,psychologie
psychological,психологический,psychologisch,psicológico,psychologisch,psychologique
psychologist,психолог,de psycholoog,psicólogo,Psychologe,psychologue
to publish,публиковать,publiceren,publicar,zu veröffentlichen,publier
window,окно,het raam,ventana,Fenster,fenêtre
radio,радио,de radio,radio,Radio,radio
edge,край,de rand,borde,Rand,bord
reaction,реакция,de reactie,reacción,Reaktion,réaction
to realize,понимать,realiseren,realizar,zu realisieren,réaliser
straight,прямой,recht,recto,gerade,droit
judge,судья,de rechter,juez,Richter,juge
"reasonable, reasonably","разумно, обоснованно",redelijk,"razonable, razonablemente","angemessen, vernünftig","raisonnable, raisonnablement"
reason,причина,de reden,motivo,Grund,raison
series,серия,de reeks,serie,Serie,série
rule,правило,de regel,regla,Regel,règle
regulation,регулирование,de regeling,reglamento,Verordnung,règlement
"trip, journey","поездка, путешествие",de reis,viaje,"Reise, Reise","voyage, périple"
to travel,путешествовать,reizen,viajar,zum Reisen,voyager
bill,билл,de rekening,bill,Rechnung,facture
relationship,отношения,de relatie,relación,Beziehung,relation
relatively,относительно,relatief,relativamente,relativ,relativement
To run,Чтобы запустить,rennen,Ejecutar,Zum Laufen,Exécuter
rest,отдых,de rest,resto,Rest,repos
restaurant,ресторан,het restaurant,restaurante,Restaurant,restaurant
result,результат,het resultaat,resultado,Ergebnis,résultat
towards,в направлении,richting,hacia,gegenüber,vers
queue,очередь,de rij,cola,Warteschlange,file d'attente
to drive,управлять,rijden,para conducir,zu fahren,pour conduire
rich,богатый,rijk,rico,reich,riche
"rich, poor","богатый, бедный","rijk, arm","ricos, pobres","reich, arm","riches, pauvres"
risk,риск,het risico,riesgo,Risiko,risque
river,река,de rivier,río,Fluss,rivière
role,роль,de rol,papel,Rolle,rôle
round,круглый,rond,redondo,rund,ronde
red,красный,rood,rojo,rot,rouge
smoke,дым,de rook,humo,Rauch,fumée
back,назад,terug,volver,zurück,retour
to smell,чувствовать запах,ruiken,oler,zu riechen,sentir
spacious,просторный,ruim,espacioso,geräumig,spacieux
space,космос,de ruimte,espacio,Raum,espace
"peace, calm","мир, спокойствие",de rust,"paz, calma","Frieden, Ruhe","la paix, le calme"
to rest,отдыхать,rusten,descansar,zur Ruhe,se reposer
quiet,тихий,stil,tranquilo,leise,calme
together,вместе,samen,juntos,zusammen,ensemble
to cooperate,сотрудничать,samenwerken,cooperar,zu kooperieren,coopérer
cooperation,сотрудничество,de samenwerking,cooperación,Zusammenarbeit,coopération
to live together,жить вместе,samenwonen,vivir juntos,zusammen zu leben,vivre ensemble
damage,ущерб,de schade,daños,Schaden,dommages
shadow,тень,de schaduw,sombra,Schatten,ombre
shoe,обувь,de schoen,zapato,Schuh,chaussure
school,школа,de school,escuela,Schule,l'école
clean,чистый,schoon,limpiar,sauber,propre
"clean, dirty","чистый, грязный","schoon, vies","limpio, sucio","sauber, schmutzig","propre, sale"
to clean,очищать,schoonmaken,limpiar,zu reinigen,pour nettoyer
shoulder,плечо,de schouder,hombro,Schulter,épaule
to write,писать,schrijven,escribir,zu schreiben,écrire
writer,писатель,de schrijver,escritor,Schriftsteller,écrivain
debt,долг,de schuld,deuda,Schulden,dette
second (time),секунда (время),de seconde,segundo (tiempo),Sekunde (Zeit),seconde (temps)
sector,сектор,de sector,sector,Sektor,secteur
ambiance,атмосфера,de sfeer,ambiente,Ambiente,ambiance
cigarette,сигарета,de sigaret,cigarrillo,Zigarette,cigarette
since,с,sinds,desde,seit,depuis
sleep,спать,de slaap,dormir,schlafen,dormir
bedroom,спальня,de slaapkamer,dormitorio,Schlafzimmer,chambre à coucher
battle,битва,de slag,batalla,Schlacht,bataille
to sleep,спать,slapen,para dormir,zu schlafen,dormir
bad,плохой,slecht,mal,schlecht,mauvais
key,ключ,de sleutel,clave,Schlüssel,clé
key lock,ключевой замок,het slot,cerradura con llave,Tastensperre,serrure à clé
taste,вкус,de smaak,pruebe,Geschmack,goût
narrow,узкий,smal,estrecho,schmal,étroit
"narrow, wide","узкий, широкий","smal, breed","estrecho, ancho","schmal, breit","étroit, large"
snow,снег,de sneeuw,nieve,Schnee,neige
fast,быстро,snel,rápido,schnell,rapide
speed,скорость,de snelheid,velocidad,Geschwindigkeit,vitesse
social,социальная,sociaal,social,sozial,sociale
soldier,солдат,de soldaat,soldado,Soldat,soldat
some,несколько,sommige,algunos,einige,certains
sometimes,иногда,soms,a veces,manchmal,parfois
kind,добрый,het soort,amable,freundlich,type
"tension, stress","напряжение, стресс",de spanning,"tensión, estrés","Spannung, Stress","tension, stress"
specific,конкретный,specifiek,específico,spezifisch,spécifique
game,игра,het spel,juego,Spiel,jeu
to play,играть,spelen,para jugar,zu spielen,pour jouer
mirror,зеркало,de spiegel,espejo,Spiegel,miroir
track,трек,het spoor,pista,Spur,piste
to speak,говорить,spreken,hablar,zu sprechen,s'exprimer
to stand,стоять,staan,de pie,zu stehen,se tenir
state,государство,de staat,estado,Staat,État
city,город,de stad,ciudad,Stadt,ville
step,шаг,de stap,paso,Schritt,étape
to step,переходить,stappen,al paso,zum Schritt,pour aller de l'avant
station,станция,het station,estación,Bahnhof,station
stone,камень,de steen,piedra,Stein,pierre
voice,голос,de stem,voz,Stimme,voix
star,звезда,de ster,estrella,Stern,étoile
strong,сильный,sterk,fuerte,stark,fort
"strong, weak","сильный, слабый","sterk, zwak","fuerte, débil","stark, schwach","fort, faible"
stiff,жесткий,stijf,rígido,steif,rigide
to rise,подниматься,stijgen,subir,zu steigen,s'élever
style,стиль,de stijl,estilo,Stil,style
silence,молчание,de stilte,silencio,Schweigen,silence
chair,кресло,de stoel,silla,Stuhl,chaise
dust,пыль,de stof,polvo,Staub,poussière
to stop,остановиться,stoppen,parar,zu stoppen,d'arrêter
street,улица,de straat,calle,Straße,rue
punishment,наказание,de straf,castigo,Bestrafung,punition
tight,плотно,strak,apretado,dicht,serré
beach,пляж,het strand,playa,Strand,plage
region,регион,de streek,región,Region,région
to stretch,растягиваться,strekken,estirar,zu strecken,étirer
strict,строго,streng,estricto,Streng,stricte
flow,поток,de stroom,flujo,Durchfluss,flux
structure,структура,de structuur,estructura,Struktur,structure
student,студент,de student,estudiante,Studenten,étudiant
to study,изучать,studeren,estudiar,zu studieren,étudier
study,исследование,de studie,estudiar,Studie,étude
piece,шт.,het stuk,pieza,Stück,pièce
to send,отправлять,zenden,enviar,zu senden,à envoyer
steering wheel,рулевое колесо,het stuur,volante,Lenkrad,volant
good luck,удача,het succes,Suerte,viel Glück,Bonne chance
sugar,сахар,de suiker,azúcar,Zucker,sucre
symbol,символ,het symbool,símbolo,Symbol,symbole
system,система,het systeem,sistema,System,système
language,язык,de taal,idioma,Sprache,langue
table,таблица,de tafel,tabla,Tabelle,table
branch,филиал,de tak,rama,Zweigstelle,branche
tooth,зуб,de tand,diente,Zahn,dent
aunt,тетя,de tante,tía,Tante,tante
too,слишком,te,demasiado,zu,aussi
technic,technic,de techniek,técnica,technik,technique
technical,технические,technisch,técnico,technisch,technique
against,против,tegen,contra,gegen,contre
"to come across (somebody), walk into (somebody)","сталкиваться с кем-либо, входить в кого-либо",tegenkomen,"cruzarse con (alguien), entrar en (alguien)","(jemandem) über den Weg laufen, in (jemanden) hineinlaufen","tomber sur (quelqu'un), entrer dans (quelqu'un)"
opposite,напротив,tegenover,frente a,gegenüber,opposé
opponent,противник,de tegenstander,oponente,Gegner,adversaire
contrary,вопреки,de tegenstelling,contrario,gegen,contraire
text,текст,de tekst,texto,Text,texte
phone,телефон,de telefoon,teléfono,Telefon,téléphone
television,телевидение,de televisie,televisión,Fernsehen,télévision
at least,по крайней мере,tenminste,como mínimo,mindestens,au moins
term,термин,de term,plazo,Begriff,terme
terrace,терраса,het terras,terraza,Terrasse,terrasse
terrain,местность,het terrein,terreno,Gelände,terrain
to come back,вернуться,terugkomen,volver,zurück zu kommen,revenir
while,в то время как,terwijl,mientras que,während,alors que
satisfied,довольны,tevreden,satisfecho,zufrieden,satisfaits
tea,чай,de thee,té,Tee,thé
theoretically,теоретически,theoretisch,teóricamente,theoretisch,théoriquement
theory,теория,de theorie,teoría,Theorie,théorie
at home,дома,thuis,en casa,zu Hause,à la maison
ten,десять,tien,diez,zehn,dix
time,время,de tijd,tiempo,Zeit,temps
magazine,журнал,het tijdschrift,revista,Zeitschrift,magazine
title,название,de titel,título,Titel,titre
tour,тур,de tocht,visita,Tour,tournée
future,будущее,toekomstig,futuro,Zukunft,futur
then (past),тогда (в прошлом),toen,entonces (pasado),dann (Vergangenheit),alors (passé)
coincidentally,случайно,toevallig,casualmente,zufällig,par hasard
tongue,язык,de tong,lengua,Zunge,langue
top,топ,de top,top,top,sommet
until,до,tot,hasta,bis,jusqu'à
total,всего,totaal,total,insgesamt,total
tear,слеза,de traan,lágrima,Träne,déchirure
tradition,традиция,de traditie,tradición,Tradition,tradition
traditional,традиционный,traditioneel,tradicional,traditionell,traditionnelle
stairs,лестница,de trap,escaleras,Treppe,escaliers
train,поезд,de trein,tren,Zug,train
mess,беспорядок,de troep,lío,Chaos,désordre
pride,гордость,de trots,orgullo,Stolz,fierté
to marry,жениться,trouwen,casarse,zu heiraten,se marier
"besides, by the way","кроме того, кстати",trouwens,"además, por cierto","Übrigens, nebenbei bemerkt","d'ailleurs, à ce propos"
in between,между,tussen,en medio,zwischendurch,entre les deux
two,два,twee,dos,zwei,deux
doubt,сомневаться,de twijfel,duda,Zweifel,doute
typical,типичный,typisch,típico,typisch,typique
"you (single, formal)",,u,,,
expression,выражение,de uitdrukking,expresión,Ausdruck,expression
in the end,в конце концов,uiteindelijk,al final,am Ende,à la fin
to go out,выходить,uitgaan,salir,Ausgehen,sortir
to explain,объяснять,uitleggen,para explicar,zu erklären,pour expliquer
exclusively,исключительно,uitsluitend,exclusivamente,ausschließlich,exclusivement
pronunciation,произношение,de uitspraak,pronunciación,Aussprache,prononciation
to get off,сойти,uitstappen,para bajar,zum Aussteigen,descendre
excellent,отличный,uitstekend,excelente,ausgezeichnet,excellent
exception,исключение,de uitzondering,excepción,Ausnahme,exception
university,университет,de universiteit,universidad,Universität,l'université
hour,час,het uur,hora,Stunde,heure
often,часто,vaak,a menudo,oft,souvent
father,отец,de vader,padre,Vater,père
"field, subject","поле, предмет",het vak,"campo, tema","Feld, Thema","domaine, sujet"
to fall,падать,vallen,caer,zu fallen,tomber
"from, of","от, из",van,"de, de","von, von","de, de"
today,сегодня,vandaag,hoy,heute,aujourd'hui
from,с сайта,vanuit,de,von,de
fixed,исправлено,vast,fijo,fest,fixe
to fight,бороться,vechten,para luchar,zu kämpfen,pour lutter
many,много,veel,muchos,viele,nombreux
"much, little","много, мало","veel, weinig","mucho, poco","viel, wenig","beaucoup, peu"
safe,безопасный,veilig,seguro,sicher,sûr
field,поле,het veld,campo,Feld,champ
guy,парень,de vent,guy,Kerl,gars
far,далеко,ver,lejos,weit,loin
to change,меняться,veranderen,cambiar,zu ändern,pour modifier
change,изменить,de verandering,cambiar,ändern,changer
responsibility,ответственность,de verantwoordelijkheid,responsabilidad,Verantwortung,responsabilité
surprised,удивлен,verbaasd,sorprendido,überrascht,surpris
bandage,бинт,het verband,venda,Bandagen,bandage
surprise,сюрприз,de verbazing,sorpresa,Überraschung,surprise
to forbid,запрещать,verbieden,prohibir,zu verbieten,interdire
further,далее,verder,más,weiter,plus
to earn,зарабатывать,verdienen,para ganar,zu verdienen,pour gagner
floor,пол,de vloer,suelo,Boden,plancher
sadness,грусть,het verdriet,tristeza,Traurigkeit,tristesse
sad,грустный,verdrietig,triste,traurig,triste
"association, club","ассоциация, клуб",de vereniging,"asociación, club","Verein, Club","association, club"
comparison,сравнение,de vergelijking,comparación,Vergleich,comparaison
to forget,забыть,vergeten,olvidar,zu vergessen,oublier
story,история,het verhaal,historia,Geschichte,histoire
ratio,соотношение,de verhouding,relación,Verhältnis,ratio
statement,заявление,de verklaring,declaración,Anweisung,déclaration
to sell,продавать,verkopen,vender,zu verkaufen,vendre
desire,желание,het verlangen,deseo,Wunsch,désir
past,прошлое,het verleden,pasado,Vergangenheit,passé
loss,потеря,het verlies,pérdida,Verlust,perte
to lose,терять,verliezen,perder,zu verlieren,perdre
difference,разница,het verschil,diferencia,Unterschied,différence
differences,различия,de verschillen,diferencias,Unterschiede,différences
various,различные,verschillende,varios,verschiedene,divers
terrible,ужасный,verschrikkelijk,terrible,schrecklich,terrible
report,отчет,het verslag,informe,Bericht,rapport
to spread,распространяться,verspreiden,difundir,zu verbreiten,de se répandre
"wit, wiseness","остроумие, мудрость",het verstand,"ingenio, sabiduría","Scharfsinn, Klugheit","esprit, sagesse"
to tell,рассказать,vertellen,contar,zu erzählen,à dire
departure,отправление,het vertrek,salida,Abreise,départ
"to leave, to depart","уходить, уезжать",vertrekken,"dejar, partir","verlassen, abreisen","quitter, partir"
thereafter,далее,vervolgens,a partir de entonces,danach,par la suite
to fulfill,выполнять,vervullen,para cumplir,zu erfüllen,remplir
expectation,ожидание,de verwachting,expectativa,Erwartung,attente
request,запрос,het verzoek,solicitar,Anfrage,demande
through,через,"via, door",a través de,über,à travers
four,четыре,vier,cuatro,vier,quatre
to celebrate,праздновать,vieren,para celebrar,zu feiern,pour célébrer
enemy,враг,de vijand,enemigo,Feind,ennemi
five,пять,vijf,cinco,fünf,cinq
to find,найти,vinden,encontrar,zu finden,pour trouver
finger,палец,de vinger,dedo,Finger,doigt
fish,рыба,de vis,pescado,Fisch,poisson
vision,видение,de visie,visión,Vision,vision
flat,квартира,vlak,plano,Wohnung,plat
meat,мясо,het vlees,carne,Fleisch,viande
to fly,летать,vliegen,volar,zu fliegen,voler
flight,рейс,de vlucht,vuelo,Flug,vol
to flee,бежать,vluchten,huir,zu fliehen,fuir
quickly,быстро,"vlug, snel",rápidamente,schnell,rapidement
moist,влажный,vochtig,húmedo,feucht,humide
food,еда,het voedsel,alimentos,Lebensmittel,nourriture
to feel,чувствовать,voelen,sentir,zu fühlen,sentir
foot,нога,de voet,pie,Fuß,pied
full,полный,vol,completo,vollständig,complet
next,следующий,volgende,siguiente,nächste,suivant
according to,согласно,volgens,según,laut,selon
people,люди,het volk,gente,Menschen,les personnes
complete,полный,volledig,completa,vollständig,complet
"in front of, before","перед, перед",voor,"delante de, antes de","vor, vor, vor","devant, avant"
example,пример,het voorbeeld,ejemplo,Beispiel,exemple
before,до,voordat,antes de,vor,avant
benefit,выгода,het voordeel,beneficio,profitieren,avantage
forehead,лоб,het voorhoofd,frente,Stirn,front
preference,предпочтение,de voorkeur,preferencia,Präferenz,préférence
proposal,предложение,het voorstel,propuesta,Vorschlag,proposition
careful,осторожно,voorzichtig,cuidado,vorsichtig,prudent
chairman,председатель,de voorzitter,presidente,Vorsitzender,président
"last, previous","последний, предыдущий",vorige,"último, anterior","letzte, vorherige","dernier, précédent"
"last, next","последний, следующий","vorige, volgende","último, siguiente","letzte, nächste","dernier, suivant"
formation,образование,de vorming,formación,Bildung,formation
question,вопрос,de vraag,pregunta,Frage,question
to ask,спросить,vragen,preguntar,zu fragen,demander
peace,мир,de vrede,paz,Frieden,la paix
strange,странный,vreemd,extraño,seltsam,étrange
horrible,ужасный,vreselijk,horrible,Schrecklich,horrible
joy,радость,de vreugde,alegría,Freude,joie
friend,друг,de vriend,amigo,Freund,ami
friendly,дружелюбный,vriendelijk,amable,freundlich,amicale
girlfriend,девушка,de vriendin,novia,Freundin,petite amie
free,бесплатно,vrij,gratis,kostenlos,gratuit
freedom,свобода,de vrijheid,libertad,Freiheit,liberté
almost (very close),почти (очень близко),vrijwel,casi (muy cerca),fast (sehr knapp),presque (très proche)
early,рано,vroeg,principios de,früh,précoce
back in the days,в те времена,vroeger,en los tiempos,in früheren Zeiten,à l'époque
cheerful,веселый,vrolijk,alegre,heiter,joyeux
woman,женщина,de vrouw,mujer,Frau,femme
to fill,заполнять,vullen,llenar,zu füllen,à remplir
TRUE,правда,waar,verdadero,wahr,vrai
value,значение,de waarde,valor,Wert,valeur
truth,правда,de waarheid,verdad,Wahrheit,vérité
probably,возможно,waarschijnlijk,probablemente,wahrscheinlich,probablement
to wait,ждать,wachten,esperar,zu warten,attendre
awake,проснуться,wakker,despierta,wach,éveillé
cheeks,щеки,de wangen,mejillas,Wangen,joues
when,когда,wanneer,cuando,wenn,quand
weapon,оружие,het wapen,arma,Waffe,arme
warm,теплый,warm,caliente,warm,chaud
"warm, cold","тёплый, холодный","warm, koud","caliente, frío","warm, kalt","chaud, froid"
warmth,тепло,de warmte,calidez,Wärme,chaleur
to wash,мыть,wassen,lavar,zum Waschen,laver
what,что,wat,qué,was,ce que
water,вода,het water,agua,Wasser,l'eau
we,мы,we,nosotros,wir,nous
week,неделя,de week,semana,Woche,semaine
to take away,отнимать,wegbrengen,quitar,zum Mitnehmen,de l'emporter
to leave,уезжать,weggaan,salir,zu verlassen,quitter
to throw away,выбрасывать,weggooien,tirar,zum Wegwerfen,jeter
